"Please enter your nickname, defined 28 days ago.","Have you practiced mindful relaxation continuously and usually in the past 4 weeks? ( If NO, you do not meet our sampling criteria -> we still appreciate your effort)","In terms of stress level, on a scale from 1-5, using only integers, how would you rate your stress arising from your work or any events directly related to your work on a working day?","In terms of focus level, on a scale from 1-5, using only integers, how much do you focus on your current work, with mind at present?","When you received newly assigned tasks, how often do you feel fully occupied?",How often do you feel you are competent and capable when handling tasks?,How often do you feel it is difficult to stay focused on what’s happening in the present?,How often do you feel stressed out when you encountered unknown errors?,How often do you not concentrate enough on your work?,How often do you find yourself not working as carefully as you should?,How often do you experience some emotion and not be conscious of it until some time later?,How often do you get so focused on the goaI you want to achieve that Iose touch with what you are doing right now to get there?,"Using the same 0-to-10 scale, how would you rate your overall job performance on the days you worked during the past week?",How did you state of mind change over the past 28 days? ,"When received newly assigned tasks, I will handle it as smoothly as I can.","When formulating commit messages, I can remember exactly what I have modified.","When taking a break, my mind is still always full of technical issues.",How often do you do no work at times when you are supposed to be working?,How do you find communicating  with teammates when collaborating? ( Only answer this if you've been working within a team.)," In your daily work, how did you do things differently over the 28 days mindful relaxation?"
Nine,Yes,At the verge of burn-out.,Very attentive but sometimes mind flow away.,4,5,2,4,2,2,1,2,8,,4,5,4,4,4,
joker,Yes,A bit of stress but acceptable.,Get distracted often.,6,3,5,5,2,4,4,6,3,"Stress and anxiety, keep going like this",5,5,6,2,5,
KEBABE,Yes,Moderate stress.,Overall attentive but with sporadic distraction.,6,5,4,6,2,2,2,5,8,It actually getting better,5,4,3,4,6,I do things with more confidence
Almanackan ,No,Moderate stress.,Very attentive but sometimes mind flow away.,4,3,2,3,2,2,1,1,10,I was more thoughtful of my colleagues,6,1,4,2,5,Not much
"It was either ""Simonster"" or ""Simonster99""",Yes,Moderate stress.,Overall attentive but with sporadic distraction.,3,4,4,3,3,5,2,4,7,I have not really felt a considerable change in my state of mind,6,2,2,4,5,"I didn't really do anything differently during the 28 days, other than 10 minutes of minful relaxation everyday"
Duckling,Yes,A bit of stress but acceptable.,Very attentive but sometimes mind flow away.,1,6,1,2,1,1,1,1,7,,6,5,1,2,5,More listening to others opinion
ii,Yes,A bit of stress but acceptable.,Only the current task in mind.,2,5,1,1,1,1,1,2,9,,5,5,2,1,6,
sp2,Yes,A bit of stress but acceptable.,Very attentive but sometimes mind flow away.,2,6,2,1,1,1,2,2,8,,6,5,1,1,6,
Fourier,Yes,Moderate stress.,Overall attentive but with sporadic distraction.,1,4,2,2,1,2,2,2,9,Focus,6,6,2,1,6,
Ling,Yes,A bit of stress but acceptable.,Only the current task in mind.,1,6,2,3,2,2,1,1,9,,6,5,3,1,6,
MR.X,Yes,Moderate stress.,Get distracted often.,3,5,4,4,4,2,2,3,3,mild improvement,4,3,2,5,2,a bit better 
inada,Yes,A bit of stress but acceptable.,Very attentive but sometimes mind flow away.,1,5,2,4,2,1,1,2,9,More concentrated,6,5,1,2,5,More aware of the big pictures
老罗,Yes,Moderate stress.,Very attentive but sometimes mind flow away.,4,3,3,4,3,2,3,2,6,"Not too many changes, but more relaxed",4,5,3,2,3,more relaxed on myself
lewis,Yes,A bit of stress but acceptable.,Very attentive but sometimes mind flow away.,1,5,2,2,3,2,2,6,8,More resiliant ,5,4,2,3,6,Better at understanding others' position
KFC,Yes,At the verge of burn-out.,Overall attentive but with sporadic distraction.,5,3,4,5,2,2,2,2,6,Slightly more careful,4,4,5,3,4,Focus
pig can fly,Yes,Moderate stress.,Overall attentive but with sporadic distraction.,3,3,4,5,2,3,3,3,6,More focus,3,4,5,2,4,
ice,Yes,Moderate stress.,Very attentive but sometimes mind flow away.,5,4,4,5,3,3,3,4,6,more quiet and peace,2,4,5,3,4,